id,neighbourhood_cleansed,room_type,price_clean,accommodates,bedrooms,beds,availability_365,number_of_reviews,review_scores_rating,latitude,longitude,instant_bookable,host_is_superhost,estimated_revenue_l365d
674746820521013486,Mission Bay,Entire home/apt,537.0,10,4.0,6.0,268,128,4.97,32.7601344,-117.2490793,t,t,136935.0
674796790376100416,Bay Park,Entire home/apt,525.0,10,4.0,4.0,270,16,5.0,32.78575,-117.20485,f,t,32550.0
674846963727639955,Jomacha-Lomita,Entire home/apt,63.0,4,1.0,1.0,144,4,5.0,32.71405,-117.04034,f,f,0.0
675180584525345674,Pacific Beach,Entire home/apt,106.0,3,1.0,2.0,324,3,5.0,32.80395,-117.23602,f,f,6572.0
675271684936708461,Roseville,Entire home/apt,181.0,6,2.0,4.0,316,63,4.92,32.7302577,-117.2294658,f,t,18462.0
675357588200725798,Darnall,Entire home/apt,87.0,3,1.0,2.0,224,92,5.0,32.74959,-117.06101,f,t,11484.0
675412757557706673,Rancho Penasquitos,Entire home/apt,154.0,8,3.0,3.0,364,22,4.64,32.94144,-117.12192,f,f,39270.0
675710719220343812,Gaslamp Quarter,Entire home/apt,1999.0,2,1.0,1.0,365,0,,32.71451,-117.15943,t,f,0.0
675919631918973174,Chollas View,Entire home/apt,332.0,8,4.0,5.0,343,57,4.86,32.70558,-117.09065,t,f,41832.0
676117407855518970,North Hills,Entire home/apt,158.0,4,1.0,1.0,331,150,4.95,32.74042,-117.12174,f,t,40290.0
676118181804462034,Mount Hope,Entire home/apt,125.0,2,1.0,1.0,119,176,4.98,32.7112,-117.10848,f,t,31875.0
676150215412066915,West University Heights,Entire home/apt,243.0,4,2.0,2.0,267,8,5.0,32.7620538,-117.142946,t,f,0.0
676365878794308240,College Area,Private room,298.0,2,1.0,1.0,365,0,,32.771852,-117.055265,t,f,0.0
676369629697531792,Roseville,Entire home/apt,95.0,2,0.0,1.0,310,23,4.48,32.72692,-117.22843,t,f,23560.0
676501411067300284,Darnall,Entire home/apt,299.0,12,4.0,5.0,131,42,4.69,32.74568,-117.07284,f,f,76245.0
676697090845552952,Cortez Hill,Entire home/apt,177.0,4,2.0,2.0,69,139,4.85,32.7220964,-117.1653992,t,t,45135.0
676703884268905191,Gaslamp Quarter,Entire home/apt,1715.0,16,6.0,13.0,180,5,4.6,32.71408,-117.16104,f,t,0.0
676703950614410949,Gaslamp Quarter,Entire home/apt,665.0,16,4.0,9.0,164,49,4.98,32.71383,-117.15974,f,t,87780.0
676754596753800658,La Jolla,Private room,420.0,2,1.0,1.0,269,5,5.0,32.85771,-117.25658,f,f,0.0
676893809601197839,North Hills,Entire home/apt,134.0,6,2.0,3.0,88,172,4.91,32.74139,-117.13095,f,t,34170.0
677015505822325373,Clairemont Mesa,Entire home/apt,201.0,4,2.0,2.0,183,7,4.86,32.82379,-117.18886,t,t,24924.0
677387859653408272,Northwest,Entire home/apt,105.0,2,1.0,1.0,241,77,4.92,32.64084,-117.08958,f,t,25830.0
677669999818926745,Pacific Beach,Entire home/apt,147.0,6,2.0,3.0,183,23,4.35,32.80042,-117.23056,f,f,37485.0
677707711046380958,North Clairemont,Entire home/apt,209.0,4,2.0,2.0,226,35,4.94,32.83052,-117.20808,f,f,16302.0
